Date,reach_id,wse,reach_q,dark_frac,xovr_cal_q,reach_q_b,wse_units,dark_frac_units
2023-08-04 10:16:43+00:00,45248401271,296.1106,1,0.0,0,14,m,1
2023-08-25 07:01:48+00:00,45248401271,296.0326,2,0.0,0,262158,m,1
2023-09-02 18:29:18+00:00,45248401271,297.1095,1,0.0,0,14,m,1
2023-10-06 00:31:56+00:00,45248401271,295.9083,2,0.0,0,262158,m,1
2023-10-14 11:59:25+00:00,45248401271,295.6529,2,0.0,0,262158,m,1
2023-10-26 21:17:01+00:00,45248401271,296.6937,1,0.0,0,14,m,1
2023-11-16 18:02:06+00:00,45248401271,298.9895,1,0.0,0,35854,m,1
2023-11-25 05:29:36+00:00,45248401271,294.6722,1,0.0,0,14,m,1
2023-12-07 14:47:12+00:00,45248401271,296.0177,2,0.0,0,264198,m,1
2023-12-16 02:14:39+00:00,45248401271,294.4304,1,0.0,0,35846,m,1
2024-01-05 22:59:46+00:00,45248401271,297.8535,1,0.0,0,32782,m,1
2024-01-18 08:17:22+00:00,45248401271,294.1263,1,0.0,0,35846,m,1
2024-01-26 19:44:52+00:00,45248401271,294.054,2,0.0,0,297990,m,1
2024-02-08 05:02:27+00:00,45248401271,297.0564,1,0.0,0,2062,m,1
2024-02-16 16:29:57+00:00,45248401271,297.7362,1,0.0,0,35846,m,1
2024-02-29 01:47:33+00:00,45248401271,295.9023,1,0.0,0,35846,m,1
2024-03-08 13:15:00+00:00,45248401271,296.4203,1,0.0,0,35846,m,1
2024-03-20 22:32:35+00:00,45248401271,295.2678,1,0.0,0,34822,m,1
2024-03-29 10:00:04+00:00,45248401271,300.3426,1,0.0,0,35846,m,1
2024-04-10 19:17:40+00:00,45248401271,296.1369,1,0.0,0,34822,m,1
2024-04-19 06:45:11+00:00,45248401271,296.2139,1,0.0,0,35844,m,1
2024-05-01 16:02:44+00:00,45248401271,295.89,1,0.0,0,35846,m,1
2024-05-10 03:30:14+00:00,45248401271,295.6193,1,0.0,0,35846,m,1
2024-05-22 12:47:49+00:00,45248401271,295.423,1,0.0,0,3078,m,1
2024-05-31 00:15:19+00:00,45248401271,295.9907,1,0.0,0,35846,m,1
2024-06-20 21:00:24+00:00,45248401271,299.6529,1,0.0,0,14,m,1
2024-07-03 06:17:58+00:00,45248401271,296.934,1,0.0,0,14,m,1
2024-07-11 17:45:27+00:00,45248401271,298.2953,1,0.0,0,14,m,1
2024-07-24 03:03:04+00:00,45248401271,298.0498,1,0.0,0,14,m,1
2024-08-01 14:30:32+00:00,45248401271,296.3584,2,0.0,0,262158,m,1
2024-08-13 23:48:09+00:00,45248401271,296.9099,2,0.0,2,786442,m,1
2024-08-22 11:15:36+00:00,45248401271,303.1611,1,0.0,0,14,m,1
2024-09-03 20:33:14+00:00,45248401271,296.3041,1,0.0,0,14,m,1
2024-10-03 04:45:50+00:00,45248401271,299.5513,1,0.0,0,14,m,1
2024-10-15 14:03:25+00:00,45248401271,295.3904,1,0.0,0,14,m,1
2024-10-24 01:30:54+00:00,45248401271,296.3268,2,0.0,0,262158,m,1
2024-11-05 10:48:29+00:00,45248401271,296.4933,1,0.0,0,14,m,1
2024-11-13 22:15:58+00:00,45248401271,295.4159,2,0.0,0,262150,m,1
2024-11-26 07:33:35+00:00,45248401271,296.6987,1,0.0,0,14,m,1
2025-01-15 12:31:11+00:00,45248401271,296.3662,1,0.0,0,14,m,1
2025-01-27 21:48:47+00:00,45248401271,296.5694,1,0.0,0,2062,m,1
2025-02-17 18:33:52+00:00,45248401271,295.0405,1,0.0,0,2054,m,1
2025-03-10 15:18:55+00:00,45248401271,295.478,1,0.0,0,34820,m,1
2025-05-12 05:34:09+00:00,45248401271,294.546,1,0.0,0,34822,m,1
2025-05-20 17:01:39+00:00,45248401271,295.8538,1,0.0,0,2054,m,1
2025-06-02 02:19:16+00:00,45248401271,294.701,1,0.0,0,34822,m,1
2025-06-10 13:46:44+00:00,45248401271,294.2003,1,0.0,0,35846,m,1
2025-07-01 10:31:50+00:00,45248401271,296.1227,1,0.0,0,14,m,1
2025-07-13 19:49:27+00:00,45248401271,298.1021,2,0.0,0,262158,m,1
2025-07-22 07:16:56+00:00,45248401271,296.0006,1,0.0,0,14,m,1
2025-08-03 16:34:30+00:00,45248401271,297.8446,2,0.0,0,262158,m,1
2025-08-12 04:01:59+00:00,45248401271,296.8471,2,0.0,0,262158,m,1
2025-08-24 13:19:36+00:00,45248401271,296.8559,1,0.0,0,10,m,1
2025-09-02 00:47:04+00:00,45248401271,298.1655,1,0.0,0,14,m,1
2025-09-14 10:04:38+00:00,45248401271,296.3783,1,0.0,0,14,m,1
2025-09-22 21:32:06+00:00,45248401271,297.5702,2,0.0,0,262158,m,1
2025-10-05 06:49:43+00:00,45248401271,296.2563,1,0.0,0,14,m,1
2025-10-13 18:17:12+00:00,45248401271,296.9736,1,0.0,0,14,m,1
2025-10-26 03:34:49+00:00,45248401271,296.1525,1,0.0,0,14,m,1
2025-11-03 15:02:18+00:00,45248401271,295.994,1,0.0,0,14,m,1
2025-11-16 00:19:52+00:00,45248401271,295.3731,1,0.0,0,14,m,1
2025-11-24 11:47:21+00:00,45248401271,296.5855,1,0.0,0,14,m,1
2025-12-06 21:04:56+00:00,45248401271,295.6517,2,0.0,0,262150,m,1
2025-12-15 08:32:24+00:00,45248401271,296.3474,1,0.0,0,14,m,1
2025-12-27 17:50:02+00:00,45248401271,295.6241,1,0.0,0,2054,m,1
2026-01-05 05:17:31+00:00,45248401271,295.9886,1,0.0,0,14,m,1
2026-01-17 14:35:05+00:00,45248401271,295.3291,1,0.0,0,34822,m,1
2026-01-26 02:02:35+00:00,45248401271,296.7094,1,0.0,0,2054,m,1
2026-02-07 11:20:10+00:00,45248401271,296.4458,1,0.0,0,14,m,1
2026-02-15 22:47:38+00:00,45248401271,294.9108,2,0.0,0,262150,m,1
2026-02-28 08:05:17+00:00,45248401271,295.8753,1,0.0,0,6,m,1
